ID,TARGET
656,B
174,B
129,C
674,D
197,B
1213,C
715,B
1083,B
623,B
1225,D
1100,C
1262,C
1249,B
227,D
324,D
424,B
939,C
692,B
38,B
847,B
455,D
1229,D
1175,B
85,D
1106,B
294,C
1269,C
1055,B
767,B
125,C
1156,D
796,B
739,C
121,B
1210,B
788,B
899,B
501,B
1223,C
192,A
1276,C
1043,C
502,B
1221,C
763,B
941,C
634,C
229,B
1056,B
1015,C
631,B
525,B
873,D
838,B
719,B
569,B
1125,B
459,C
5,D
951,C
471,C
31,B
183,B
1121,C
178,B
1109,D
131,B
1107,C
96,B
924,B
1095,C
876,B
693,C
710,D
1171,C
574,D
338,D
686,C
224,C
1059,D
911,D
23,B
257,D
641,B
61,B
319,B
306,B
614,B
900,A
935,A
658,C
969,D
56,B
919,B
1054,D
376,D
550,C
39,B
1001,B
72,C
1078,D
888,A
737,B
859,D
1014,D
921,A
584,A
908,D
1199,C
1127,B
4,C
1272,C
393,D
680,C
1020,C
592,D
682,D
720,D
235,C
395,C
1143,A
581,B
115,C
513,B
1179,B
1040,B
1200,B
660,D
545,D
1137,A
305,B
727,B
709,B
903,A
914,A
597,B
576,B
251,C
1176,B
94,D
1129,D
59,B
554,A
392,B
854,B
195,B
1273,C
1110,B
165,D
36,C
684,C
824,C
866,D
391,C
923,A
1139,B
945,A
1058,B
639,B
1197,B
1013,C
861,D
1287,B
386,D
1165,B
1183,A
570,B
640,D
1010,C
867,C
375,B
222,D
79,B
1017,B
230,C
1115,B
1057,B
721,B
1084,D
734,B
940,B
850,C
1282,B
958,C
981,C
469,C
858,B
1007,A
889,C
481,D
700,A
659,B
389,D
1228,B
1222,B
342,D
992,B
996,C
337,D
704,B
1240,A
236,B
713,B
467,B
21,B
431,D
322,D
781,B
202,C
408,B
954,C
1239,B
87,C
80,B
795,B
1288,B
210,D
1025,B
146,B
203,A
591,B
661,D
256,B
538,D
589,C
30,C
808,B
246,B
166,B
1089,B
802,B
1216,B
315,C
147,D
470,C
607,C
460,B
219,C
196,B
1153,C
296,B
1220,D
504,B
51,C
872,B
770,B
427,D
743,B
678,C
974,C
568,B
516,B
494,C
430,C
49,B
526,C
534,B
1080,B
738,B
499,D
1259,D
255,A
1087,B
1002,B
45,B
339,B
792,D
2,A
356,B
1191,B
531,B
267,B
415,B
193,B
764,C
208,D
100,C
511,D
768,D
444,B
886,B
706,D
128,C
800,B
248,B
155,D
916,B
766,C
1076,C
988,B
976,B
67,D
822,C
718,A
310,C
558,B
1011,B
114,C
670,D
635,B
117,B
503,B
1193,B
771,D
468,B
1252,C
653,B
1164,D
691,B
1075,B
722,C
64,C
717,C
780,C
1136,B
487,A
1042,B
1278,C
757,C
1050,B
142,A
1186,D
187,B
171,B
24,D
1105,C
616,B
532,B
1215,D
759,B
778,B
912,D
703,C
979,D
1204,A
947,B
928,A
1101,B
225,B
1131,D
562,B
1122,D
638,C
1251,B
755,B
440,D
211,B
846,D
683,C
1292,B
334,B
93,B
564,B
1238,B
906,B
842,B
761,B
799,A
176,B
509,D
1174,D
105,C
359,B
458,B
752,B
1114,D
930,B
907,B
11,C
975,B
580,B
962,B
1090,B
1045,D
1267,B
143,C
632,C
990,C
480,B
212,A
220,D
1279,B
853,A
244,B
512,B
200,C
1039,D
232,B
1004,D
