ID,TARGET
656,B
174,B
129,C
674,D
197,B
1213,C
715,D
1083,C
623,B
1225,C
1100,C
1262,C
1249,D
227,D
324,C
424,D
939,C
692,C
38,B
847,B
455,C
1229,D
1175,B
85,D
1106,B
294,C
1269,C
1055,B
767,B
125,C
1156,C
796,B
739,C
121,B
1210,B
788,B
899,C
501,B
1223,C
192,B
1276,B
1043,C
502,B
1221,B
763,B
941,C
634,D
229,C
1056,B
1015,B
631,C
525,B
873,C
838,C
719,C
569,B
1125,B
459,C
5,B
951,B
471,C
31,C
183,B
1121,C
178,B
1109,C
131,C
1107,C
96,C
924,B
1095,C
876,B
693,C
710,D
1171,C
574,C
338,D
686,B
224,D
1059,D
911,D
23,B
257,D
641,B
61,B
319,B
306,C
614,B
900,A
935,A
658,C
969,C
56,A
919,B
1054,D
376,D
550,B
39,B
1001,C
72,B
1078,D
888,A
737,D
859,C
1014,C
921,A
584,A
908,C
1199,B
1127,B
4,C
1272,C
393,C
680,D
1020,D
592,D
682,C
720,D
235,C
395,C
1143,B
581,B
115,C
513,B
1179,B
1040,B
1200,B
660,C
545,D
1137,A
305,B
727,C
709,B
903,A
914,B
597,B
576,B
251,B
1176,B
94,D
1129,D
59,B
554,A
392,B
854,B
195,B
1273,D
1110,B
165,D
36,C
684,C
824,C
866,D
391,C
923,A
1139,B
945,B
1058,B
639,B
1197,C
1013,C
861,D
1287,B
386,C
1165,C
1183,A
570,B
640,D
1010,C
867,C
375,B
222,D
79,B
1017,B
230,C
1115,C
1057,B
721,C
1084,D
734,B
940,B
850,C
1282,B
958,B
981,D
469,C
858,B
1007,A
889,C
481,D
700,B
659,B
389,D
1228,B
1222,B
342,D
992,D
996,C
337,C
704,B
1240,A
236,B
713,B
467,B
21,B
431,C
322,C
781,B
202,C
408,B
954,C
1239,B
87,D
80,B
795,A
1288,B
210,C
1025,B
146,B
203,B
591,B
661,D
256,B
538,D
589,B
30,C
808,C
246,B
166,C
1089,C
802,C
1216,B
315,D
147,C
470,C
607,D
460,B
219,B
196,B
1153,D
296,A
1220,C
504,B
51,C
872,D
770,B
427,D
743,B
678,C
974,B
568,B
516,B
494,C
430,D
49,B
526,C
534,D
1080,B
738,B
499,C
1259,D
255,A
1087,B
1002,B
45,A
339,B
792,D
2,A
356,C
1191,B
531,C
267,C
415,C
193,B
764,D
208,C
100,C
511,D
768,B
444,A
886,B
706,D
128,B
800,B
248,B
155,D
916,B
766,D
1076,C
988,C
976,B
67,D
822,C
718,B
310,D
558,A
1011,B
114,B
670,D
635,B
117,B
503,B
1193,B
771,C
468,C
1252,C
653,C
1164,D
691,D
1075,B
722,C
64,B
717,C
780,C
1136,A
487,A
1042,B
1278,B
757,D
1050,B
142,A
1186,D
187,B
171,D
24,D
1105,C
616,C
532,B
1215,C
759,C
778,C
912,D
703,C
979,D
1204,A
947,A
928,A
1101,B
225,B
1131,D
562,B
1122,D
638,C
1251,B
755,B
440,D
211,B
846,C
683,C
1292,C
334,B
93,B
564,B
1238,B
906,B
842,B
761,C
799,A
176,B
509,D
1174,B
105,C
359,B
458,B
752,B
1114,C
930,B
907,B
11,C
975,B
580,B
962,B
1090,C
1045,D
1267,A
143,D
632,C
990,C
480,B
212,A
220,C
1279,B
853,A
244,B
512,B
200,D
1039,D
232,B
1004,C
