ID,RATE
656,B
174,B
129,B
674,D
197,B
1213,D
715,D
1083,B
623,B
1225,D
1100,C
1262,C
1249,D
227,D
324,C
424,B
939,B
692,B
38,B
847,B
455,C
1229,D
1175,B
85,D
1106,B
294,D
1269,C
1055,B
767,B
125,B
1156,C
796,B
739,D
121,B
1210,B
788,B
899,B
501,B
1223,B
192,B
1276,C
1043,C
502,B
1221,C
763,B
941,D
634,D
229,B
1056,B
1015,B
631,B
525,B
873,C
838,C
719,B
569,B
1125,B
459,C
5,B
951,B
471,C
31,B
183,B
1121,B
178,B
1109,C
131,B
1107,C
96,C
924,B
1095,C
876,B
693,B
710,C
1171,C
574,D
338,D
686,B
224,C
1059,D
911,C
23,B
257,B
641,B
61,B
319,B
306,B
614,B
900,A
935,A
658,B
969,D
56,B
919,B
1054,D
376,C
550,B
39,B
1001,B
72,B
1078,D
888,B
737,D
859,C
1014,D
921,B
584,B
908,C
1199,B
1127,B
4,C
1272,D
393,B
680,B
1020,D
592,D
682,C
720,D
235,C
395,C
1143,B
581,B
115,B
513,B
1179,B
1040,B
1200,B
660,C
545,D
1137,A
305,B
727,B
709,B
903,A
914,B
597,B
576,B
251,B
1176,B
94,D
1129,D
59,C
554,A
392,B
854,B
195,B
1273,D
1110,B
165,D
36,C
684,B
824,D
866,B
391,D
923,A
1139,B
945,B
1058,B
639,B
1197,B
1013,D
861,D
1287,B
386,C
1165,B
1183,B
570,B
640,C
1010,D
867,B
375,A
222,C
79,B
1017,B
230,B
1115,B
1057,B
721,C
1084,B
734,B
940,B
850,B
1282,B
958,B
981,D
469,C
858,B
1007,B
889,B
481,D
700,A
659,B
389,D
1228,B
1222,B
342,D
992,C
996,C
337,D
704,B
1240,B
236,B
713,B
467,B
21,B
431,C
322,D
781,B
202,C
408,B
954,C
1239,B
87,D
80,B
795,B
1288,C
210,C
1025,B
146,B
203,B
591,B
661,B
256,B
538,D
589,B
30,D
808,B
246,B
166,B
1089,D
802,B
1216,B
315,D
147,C
470,D
607,D
460,B
219,C
196,B
1153,C
296,B
1220,D
504,B
51,C
872,B
770,B
427,C
743,B
678,C
974,C
568,B
516,B
494,D
430,B
49,B
526,D
534,B
1080,B
738,B
499,C
1259,C
255,B
1087,B
1002,B
45,B
339,B
792,D
2,B
356,B
1191,B
531,C
267,B
415,B
193,B
764,C
208,D
100,C
511,B
768,C
444,D
886,C
706,D
128,B
800,B
248,B
155,D
916,B
766,D
1076,B
988,C
976,B
67,D
822,B
718,B
310,D
558,B
1011,B
114,B
670,D
635,C
117,B
503,B
1193,B
771,D
468,C
1252,B
653,B
1164,D
691,D
1075,B
722,D
64,B
717,B
780,D
1136,B
487,B
1042,C
1278,B
757,D
1050,B
142,A
1186,D
187,B
171,D
24,D
1105,C
616,B
532,B
1215,D
759,C
778,C
912,C
703,C
979,D
1204,A
947,A
928,B
1101,B
225,B
1131,D
562,B
1122,D
638,C
1251,B
755,B
440,D
211,B
846,C
683,C
1292,C
334,B
93,B
564,B
1238,B
906,B
842,B
761,B
799,A
176,B
509,D
1174,B
105,C
359,B
458,B
752,B
1114,C
930,B
907,B
11,B
975,B
580,B
962,B
1090,B
1045,D
1267,B
143,C
632,C
990,C
480,B
212,B
220,B
1279,B
853,A
244,B
512,B
200,D
1039,D
232,B
1004,B
