ID,RATE
656,B
174,B
129,D
674,D
197,B
1213,C
715,D
1083,C
623,B
1225,C
1100,C
1262,C
1249,D
227,D
324,C
424,C
939,D
692,C
38,B
847,A
455,D
1229,C
1175,A
85,D
1106,C
294,D
1269,B
1055,B
767,B
125,A
1156,D
796,B
739,C
121,A
1210,B
788,B
899,C
501,B
1223,D
192,B
1276,B
1043,C
502,C
1221,A
763,B
941,B
634,D
229,B
1056,B
1015,B
631,C
525,B
873,D
838,C
719,B
569,B
1125,B
459,C
5,A
951,D
471,C
31,C
183,B
1121,D
178,C
1109,D
131,C
1107,D
96,C
924,B
1095,D
876,B
693,D
710,D
1171,D
574,C
338,D
686,B
224,D
1059,D
911,D
23,B
257,D
641,B
61,B
319,B
306,B
614,B
900,A
935,A
658,B
969,C
56,A
919,B
1054,D
376,B
550,C
39,B
1001,C
72,B
1078,D
888,A
737,D
859,D
1014,D
921,A
584,A
908,C
1199,B
1127,B
4,C
1272,B
393,D
680,D
1020,C
592,C
682,D
720,D
235,C
395,D
1143,A
581,B
115,D
513,B
1179,B
1040,B
1200,A
660,D
545,D
1137,A
305,B
727,B
709,B
903,A
914,B
597,B
576,B
251,A
1176,B
94,D
1129,B
59,B
554,A
392,B
854,B
195,C
1273,D
1110,B
165,D
36,C
684,C
824,C
866,D
391,C
923,A
1139,B
945,A
1058,C
639,B
1197,C
1013,D
861,D
1287,B
386,C
1165,C
1183,A
570,B
640,C
1010,B
867,B
375,B
222,D
79,C
1017,B
230,C
1115,B
1057,B
721,C
1084,D
734,B
940,B
850,C
1282,C
958,B
981,C
469,D
858,C
1007,A
889,C
481,D
700,A
659,B
389,C
1228,B
1222,B
342,D
992,C
996,C
337,D
704,B
1240,C
236,B
713,B
467,B
21,B
431,D
322,B
781,B
202,C
408,B
954,B
1239,B
87,D
80,B
795,A
1288,B
210,D
1025,B
146,B
203,B
591,B
661,D
256,B
538,D
589,B
30,C
808,B
246,B
166,C
1089,D
802,C
1216,B
315,D
147,C
470,B
607,D
460,A
219,B
196,B
1153,D
296,C
1220,D
504,B
51,C
872,D
770,B
427,D
743,B
678,C
974,B
568,B
516,B
494,D
430,D
49,B
526,D
534,C
1080,B
738,C
499,C
1259,C
255,A
1087,C
1002,C
45,A
339,B
792,D
2,A
356,C
1191,B
531,C
267,B
415,C
193,B
764,D
208,D
100,C
511,C
768,B
444,A
886,C
706,D
128,B
800,B
248,B
155,D
916,B
766,D
1076,C
988,B
976,B
67,D
822,C
718,A
310,D
558,B
1011,B
114,B
670,D
635,A
117,B
503,B
1193,C
771,C
468,D
1252,C
653,B
1164,D
691,D
1075,C
722,C
64,C
717,C
780,D
1136,A
487,A
1042,C
1278,B
757,D
1050,B
142,A
1186,D
187,B
171,B
24,D
1105,C
616,D
532,A
1215,D
759,B
778,B
912,B
703,C
979,C
1204,A
947,A
928,A
1101,A
225,B
1131,D
562,B
1122,C
638,C
1251,B
755,A
440,D
211,B
846,D
683,C
1292,D
334,C
93,A
564,B
1238,C
906,B
842,B
761,C
799,A
176,B
509,D
1174,B
105,A
359,B
458,B
752,C
1114,C
930,B
907,B
11,B
975,B
580,B
962,B
1090,B
1045,D
1267,B
143,C
632,D
990,C
480,B
212,B
220,A
1279,B
853,A
244,A
512,B
200,D
1039,D
232,B
1004,B
