ID,TARGET
656,B
174,B
129,C
674,D
197,B
1213,D
715,B
1083,C
623,B
1225,C
1100,C
1262,D
1249,B
227,C
324,C
424,B
939,C
692,C
38,B
847,B
455,D
1229,D
1175,B
85,D
1106,B
294,C
1269,C
1055,C
767,C
125,C
1156,D
796,B
739,C
121,B
1210,B
788,C
899,B
501,B
1223,C
192,B
1276,D
1043,C
502,B
1221,D
763,C
941,C
634,C
229,C
1056,B
1015,D
631,C
525,C
873,D
838,C
719,C
569,C
1125,B
459,C
5,C
951,B
471,C
31,B
183,B
1121,C
178,B
1109,D
131,C
1107,C
96,B
924,B
1095,C
876,B
693,C
710,D
1171,C
574,C
338,C
686,D
224,D
1059,D
911,C
23,C
257,C
641,B
61,B
319,B
306,D
614,B
900,B
935,B
658,C
969,D
56,B
919,B
1054,D
376,D
550,C
39,B
1001,C
72,C
1078,D
888,A
737,B
859,C
1014,C
921,B
584,B
908,D
1199,C
1127,B
4,C
1272,B
393,D
680,D
1020,D
592,C
682,D
720,C
235,D
395,C
1143,B
581,B
115,C
513,B
1179,B
1040,B
1200,B
660,C
545,C
1137,B
305,B
727,C
709,B
903,B
914,B
597,B
576,B
251,D
1176,B
94,D
1129,D
59,B
554,B
392,C
854,B
195,B
1273,C
1110,C
165,D
36,C
684,C
824,C
866,C
391,D
923,B
1139,B
945,B
1058,B
639,B
1197,C
1013,C
861,D
1287,B
386,C
1165,C
1183,B
570,B
640,D
1010,C
867,C
375,B
222,C
79,C
1017,B
230,C
1115,C
1057,B
721,D
1084,C
734,B
940,B
850,D
1282,B
958,C
981,C
469,C
858,B
1007,B
889,C
481,C
700,B
659,B
389,C
1228,B
1222,B
342,D
992,D
996,D
337,D
704,B
1240,B
236,B
713,B
467,B
21,B
431,D
322,C
781,B
202,D
408,B
954,C
1239,B
87,D
80,B
795,C
1288,C
210,D
1025,B
146,B
203,B
591,B
661,D
256,B
538,D
589,C
30,D
808,C
246,B
166,B
1089,D
802,C
1216,B
315,D
147,D
470,D
607,D
460,B
219,C
196,A
1153,C
296,B
1220,D
504,B
51,C
872,B
770,B
427,C
743,B
678,C
974,C
568,B
516,B
494,D
430,C
49,B
526,C
534,C
1080,B
738,C
499,D
1259,D
255,B
1087,B
1002,B
45,B
339,B
792,D
2,B
356,B
1191,C
531,C
267,B
415,C
193,A
764,D
208,D
100,C
511,D
768,D
444,C
886,C
706,B
128,C
800,C
248,B
155,D
916,B
766,D
1076,C
988,C
976,B
67,D
822,C
718,B
310,D
558,B
1011,C
114,C
670,D
635,D
117,B
503,B
1193,B
771,D
468,C
1252,C
653,C
1164,D
691,C
1075,B
722,C
64,C
717,C
780,C
1136,B
487,B
1042,D
1278,C
757,D
1050,B
142,B
1186,D
187,B
171,C
24,D
1105,D
616,C
532,B
1215,C
759,B
778,D
912,D
703,C
979,D
1204,B
947,B
928,B
1101,B
225,B
1131,C
562,B
1122,D
638,C
1251,B
755,B
440,C
211,C
846,D
683,D
1292,C
334,B
93,D
564,C
1238,B
906,C
842,C
761,B
799,B
176,B
509,D
1174,B
105,C
359,B
458,B
752,B
1114,D
930,C
907,B
11,C
975,B
580,B
962,C
1090,C
1045,D
1267,B
143,B
632,C
990,C
480,B
212,A
220,C
1279,C
853,B
244,B
512,C
200,C
1039,D
232,B
1004,C
