ID,TARGET
656,B
174,B
129,C
674,D
197,B
1213,D
715,C
1083,C
623,B
1225,D
1100,C
1262,C
1249,C
227,C
324,D
424,B
939,C
692,C
38,B
847,B
455,D
1229,D
1175,B
85,D
1106,B
294,C
1269,C
1055,B
767,B
125,B
1156,D
796,B
739,C
121,B
1210,B
788,B
899,B
501,B
1223,C
192,B
1276,C
1043,D
502,A
1221,D
763,B
941,C
634,C
229,C
1056,B
1015,B
631,B
525,B
873,D
838,C
719,B
569,B
1125,B
459,C
5,D
951,A
471,D
31,B
183,B
1121,C
178,B
1109,D
131,D
1107,C
96,C
924,B
1095,D
876,B
693,B
710,D
1171,C
574,D
338,D
686,D
224,C
1059,D
911,D
23,C
257,D
641,B
61,B
319,B
306,C
614,B
900,A
935,A
658,C
969,D
56,A
919,B
1054,D
376,D
550,B
39,B
1001,C
72,C
1078,D
888,A
737,C
859,D
1014,C
921,B
584,A
908,D
1199,C
1127,B
4,C
1272,D
393,D
680,D
1020,D
592,D
682,D
720,D
235,D
395,C
1143,A
581,B
115,C
513,B
1179,B
1040,B
1200,B
660,D
545,D
1137,B
305,B
727,B
709,B
903,A
914,B
597,B
576,B
251,D
1176,B
94,D
1129,D
59,B
554,A
392,B
854,B
195,B
1273,D
1110,B
165,D
36,C
684,C
824,C
866,D
391,C
923,A
1139,B
945,A
1058,C
639,B
1197,C
1013,C
861,C
1287,B
386,D
1165,B
1183,A
570,B
640,D
1010,C
867,C
375,B
222,D
79,B
1017,C
230,C
1115,C
1057,C
721,C
1084,C
734,B
940,B
850,C
1282,B
958,C
981,C
469,C
858,B
1007,A
889,B
481,D
700,A
659,B
389,D
1228,B
1222,B
342,D
992,D
996,C
337,D
704,B
1240,A
236,B
713,B
467,B
21,B
431,C
322,D
781,B
202,C
408,B
954,C
1239,B
87,D
80,B
795,B
1288,C
210,D
1025,B
146,B
203,B
591,B
661,D
256,B
538,D
589,C
30,C
808,B
246,B
166,B
1089,C
802,C
1216,B
315,D
147,D
470,D
607,D
460,B
219,B
196,B
1153,D
296,B
1220,D
504,B
51,C
872,B
770,B
427,D
743,B
678,C
974,D
568,C
516,B
494,C
430,D
49,B
526,D
534,C
1080,B
738,B
499,D
1259,D
255,A
1087,C
1002,B
45,B
339,B
792,D
2,A
356,B
1191,B
531,B
267,B
415,C
193,B
764,C
208,D
100,C
511,D
768,D
444,B
886,B
706,D
128,C
800,B
248,B
155,D
916,B
766,D
1076,C
988,B
976,B
67,D
822,B
718,A
310,C
558,B
1011,B
114,C
670,C
635,B
117,B
503,B
1193,B
771,D
468,C
1252,C
653,B
1164,D
691,B
1075,B
722,C
64,C
717,C
780,C
1136,C
487,B
1042,C
1278,C
757,D
1050,B
142,A
1186,D
187,B
171,B
24,D
1105,C
616,C
532,B
1215,D
759,B
778,C
912,D
703,C
979,D
1204,A
947,B
928,A
1101,B
225,B
1131,D
562,B
1122,D
638,C
1251,B
755,A
440,D
211,B
846,D
683,C
1292,C
334,B
93,B
564,C
1238,B
906,B
842,B
761,B
799,A
176,B
509,D
1174,C
105,C
359,B
458,B
752,B
1114,D
930,B
907,B
11,C
975,B
580,B
962,B
1090,C
1045,D
1267,B
143,C
632,C
990,C
480,B
212,A
220,D
1279,B
853,A
244,B
512,B
200,C
1039,D
232,B
1004,D
