ID,RATE
656,B
174,B
129,B
674,B
197,B
1213,B
715,B
1083,B
623,B
1225,B
1100,B
1262,D
1249,B
227,C
324,D
424,B
939,B
692,C
38,B
847,D
455,B
1229,B
1175,C
85,B
1106,B
294,B
1269,D
1055,A
767,B
125,D
1156,B
796,B
739,D
121,C
1210,B
788,D
899,D
501,B
1223,C
192,D
1276,A
1043,D
502,B
1221,D
763,D
941,D
634,A
229,D
1056,B
1015,A
631,D
525,B
873,B
838,B
719,B
569,B
1125,A
459,D
5,B
951,D
471,B
31,B
183,B
1121,B
178,B
1109,B
131,B
1107,B
96,B
924,B
1095,D
876,B
693,B
710,D
1171,B
574,B
338,B
686,C
224,B
1059,B
911,B
23,D
257,B
641,B
61,B
319,D
306,B
614,B
900,C
935,B
658,C
969,B
56,D
919,D
1054,D
376,B
550,B
39,C
1001,B
72,A
1078,B
888,B
737,B
859,B
1014,D
921,B
584,B
908,B
1199,B
1127,B
4,B
1272,B
393,C
680,D
1020,B
592,A
682,C
720,B
235,B
395,B
1143,D
581,D
115,C
513,B
1179,C
1040,B
1200,D
660,B
545,B
1137,B
305,D
727,B
709,B
903,C
914,B
597,B
576,B
251,B
1176,B
94,B
1129,D
59,B
554,B
392,B
854,D
195,C
1273,B
1110,B
165,B
36,C
684,B
824,B
866,C
391,D
923,D
1139,B
945,D
1058,B
639,D
1197,A
1013,B
861,A
1287,A
386,A
1165,A
1183,D
570,A
640,D
1010,B
867,D
375,B
222,B
79,B
1017,C
230,B
1115,D
1057,B
721,B
1084,B
734,B
940,B
850,B
1282,D
958,B
981,D
469,A
858,D
1007,B
889,B
481,D
700,B
659,B
389,B
1228,B
1222,B
342,B
992,B
996,B
337,B
704,B
1240,B
236,C
713,B
467,B
21,B
431,D
322,B
781,D
202,B
408,D
954,B
1239,B
87,B
80,B
795,D
1288,B
210,A
1025,B
146,B
203,B
591,D
661,D
256,B
538,B
589,B
30,D
808,B
246,B
166,B
1089,B
802,B
1216,B
315,B
147,B
470,D
607,D
460,B
219,B
196,B
1153,B
296,D
1220,B
504,B
51,B
872,B
770,B
427,B
743,B
678,B
974,D
568,A
516,B
494,A
430,B
49,D
526,A
