ID,TARGET
656,B
174,B
129,D
674,D
197,B
1213,D
715,D
1083,C
623,B
1225,D
1100,C
1262,C
1249,B
227,D
324,C
424,B
939,D
692,B
38,B
847,C
455,B
1229,D
1175,B
85,D
1106,B
294,C
1269,C
1055,B
767,B
125,C
1156,C
796,B
739,C
121,B
1210,B
788,B
899,B
501,B
1223,C
192,B
1276,C
1043,C
502,C
1221,B
763,C
941,D
634,D
229,C
1056,B
1015,B
631,D
525,B
873,C
838,C
719,B
569,B
1125,B
459,C
5,C
951,C
471,C
31,B
183,B
1121,C
178,B
1109,D
131,B
1107,C
96,B
924,B
1095,C
876,B
693,C
710,D
1171,C
574,C
338,C
686,C
224,C
1059,C
911,C
23,B
257,B
641,C
61,B
319,B
306,C
614,B
900,C
935,B
658,B
969,C
56,A
919,B
1054,D
376,C
550,B
39,B
1001,C
72,B
1078,D
888,A
737,D
859,D
1014,D
921,B
584,A
908,C
1199,B
1127,B
4,C
1272,C
393,D
680,D
1020,D
592,D
682,C
720,D
235,C
395,C
1143,B
581,B
115,D
513,B
1179,B
1040,B
1200,B
660,D
545,D
1137,A
305,B
727,C
709,B
903,A
914,C
597,A
576,B
251,D
1176,B
94,D
1129,C
59,C
554,C
392,B
854,B
195,C
1273,D
1110,B
165,C
36,C
684,B
824,C
866,D
391,C
923,A
1139,B
945,C
1058,B
639,B
1197,B
1013,C
861,C
1287,B
386,C
1165,C
1183,B
570,B
640,D
1010,C
867,C
375,B
222,D
79,B
1017,B
230,C
1115,C
1057,B
721,C
1084,D
734,B
940,B
850,D
1282,B
958,B
981,C
469,C
858,B
1007,B
889,C
481,D
700,B
659,B
389,C
1228,B
1222,C
342,C
992,C
996,C
337,D
704,B
1240,C
236,B
713,B
467,B
21,B
431,C
322,C
781,B
202,C
408,C
954,B
1239,B
87,D
80,B
795,B
1288,C
210,D
1025,B
146,B
203,B
591,B
661,C
256,B
538,D
589,C
30,C
808,B
246,B
166,B
1089,B
802,B
1216,B
315,D
147,C
470,C
607,D
460,C
219,C
196,B
1153,D
296,A
1220,C
504,B
51,C
872,C
770,B
427,C
743,B
678,D
974,B
568,B
516,B
494,C
430,C
49,A
526,C
534,B
1080,B
738,B
499,D
1259,C
255,A
1087,B
1002,B
45,A
339,B
792,D
2,A
356,B
1191,B
531,C
267,B
415,C
193,B
764,D
208,C
100,C
511,C
768,C
444,B
886,B
706,D
128,B
800,B
248,B
155,D
916,B
766,D
1076,C
988,C
976,B
67,D
822,C
718,C
310,D
558,A
1011,C
114,B
670,C
635,C
117,B
503,A
1193,B
771,C
468,C
1252,B
653,B
1164,D
691,D
1075,B
722,C
64,C
717,C
780,D
1136,B
487,A
1042,B
1278,B
757,D
1050,B
142,A
1186,D
187,A
171,C
24,D
1105,D
616,C
532,B
1215,D
759,B
778,C
912,D
703,C
979,D
1204,A
947,B
928,A
1101,B
225,B
1131,D
562,B
1122,D
638,C
1251,B
755,D
440,D
211,B
846,D
683,C
1292,B
334,C
93,B
564,C
1238,B
906,B
842,B
761,B
799,A
176,B
509,D
1174,C
105,C
359,B
458,B
752,C
1114,C
930,B
907,B
11,D
975,B
580,B
962,B
1090,C
1045,D
1267,A
143,C
632,C
990,D
480,B
212,B
220,D
1279,A
853,A
244,C
512,B
200,D
1039,D
232,B
1004,D
